(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 1/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2505
   ⭐️ New Best Found!
Config 2/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2430
   ⭐️ New Best Found!
Config 3/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1735
   ⭐️ New Best Found!
Config 4/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2398
Config 5/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2146
Config 6/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1271
   ⭐️ New Best Found!
Config 7/864 | Val Accuracy: 0.8333 | Tr MSE: 0.2309
Config 8/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2279
Config 9/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1222
Config 10/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0968
Config 11/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0016
   ⭐️ New Best Found!
Config 12/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0004
Config 13/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0617
Config 14/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0007
Config 15/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 16/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0031
Config 17/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0016
Config 18/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 19/864 | Val Accuracy: 0.4583 | Tr MSE: 0.2209
Config 20/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1224
Config 21/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1160
Config 22/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1636
Config 23/864 | Val Accuracy: 0.9167 | Tr MSE: 0.1285
Config 24/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1065
Config 25/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1763
Config 26/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1248
Config 27/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1019
Config 28/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2538
Config 29/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2522
Config 30/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1222
