(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 1/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2321
   ⭐️ New Best Found!
Config 2/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2313
   ⭐️ New Best Found!
Config 3/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2328
Config 4/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2348
Config 5/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2370
Config 6/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2189
Config 7/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2338
Config 8/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2306
Config 9/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2160
Config 10/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0030
   ⭐️ New Best Found!
Config 11/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0009
Config 12/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0002
Config 13/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0013
Config 14/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0005
Config 15/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 16/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0013
Config 17/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0004
Config 18/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0001
Config 19/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2283
Config 20/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2270
Config 21/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1862
Config 22/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2242
Config 23/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2120
Config 24/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0079
Config 25/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2204
Config 26/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2091
Config 27/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0045
Config 28/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2304
Config 29/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2238
Config 30/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2159
Config 31/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2297
Config 32/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2327
Config 33/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2109
Config 34/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2311
Config 35/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2305
Config 36/864 | Val Accuracy: 0.6471 | Tr MSE: 0.1518
Config 37/864 | Val Accuracy: 0.3824 | Tr MSE: 0.3183
Config 38/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2345
Config 39/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2342
Config 40/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2327
Config 41/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2330
Config 42/864 | Val Accuracy: 0.7059 | Tr MSE: 0.2286
Config 43/864 | Val Accuracy: 0.7059 | Tr MSE: 0.2370
Config 44/864 | Val Accuracy: 0.7059 | Tr MSE: 0.2347
Config 45/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2289
Config 46/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2034
Config 47/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0031
Config 48/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0006
Config 49/864 | Val Accuracy: 0.6471 | Tr MSE: 0.1542
Config 50/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0013
Config 51/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0003
Config 52/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0058
Config 53/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0010
Config 54/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0002
Config 55/864 | Val Accuracy: 0.7059 | Tr MSE: 0.2361
Config 56/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2268
Config 57/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2154
Config 58/864 | Val Accuracy: 0.5882 | Tr MSE: 0.2280
Config 59/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2226
Config 60/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1740
Config 61/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2268
Config 62/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2269
Config 63/864 | Val Accuracy: 0.6176 | Tr MSE: 0.1932
Config 64/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2351
Config 65/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2331
Config 66/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2341
Config 67/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2339
Config 68/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2240
Config 69/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2243
Config 70/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2304
Config 71/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2247
Config 72/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2080
Config 73/864 | Val Accuracy: 0.3824 | Tr MSE: 0.4533
Config 74/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2353
Config 75/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2348
Config 76/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2432
Config 77/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2357
Config 78/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2332
Config 79/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2424
Config 80/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2333
Config 81/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2323
Config 82/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2048
Config 83/864 | Val Accuracy: 0.6471 | Tr MSE: 0.1960
Config 84/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0012
Config 85/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2064
Config 86/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0032
Config 87/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0334
Config 88/864 | Val Accuracy: 0.8235 | Tr MSE: 0.1231
Config 89/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0062
Config 90/864 | Val Accuracy: 0.7647 | Tr MSE: 0.1268
Config 91/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2330
Config 92/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2350
Config 93/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2228
Config 94/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2419
Config 95/864 | Val Accuracy: 0.7059 | Tr MSE: 0.2315
Config 96/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2141
Config 97/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2352
Config 98/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2249
Config 99/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2066
Config 100/864 | Val Accuracy: 0.3824 | Tr MSE: 0.2693
Config 101/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2377
Config 102/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2277
Config 103/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2301
